Matrix	GapOpen	GapExt	Lambda	K
25p53g	-27	-5	0.109152	0.111427
14p51g	-35	-6	0.126273	0.271705
25p41g	-27	-5	0.113153	0.142018
14p39g	-35	-6	0.120541	0.267775
14p35g	-35	-6	0.126797	0.284773
18p43g	-33	-5	0.121582	0.234784
25p51g	-27	-5	0.114421	0.13735
18p35g	-33	-5	0.124283	0.246276
25p35g	-27	-5	0.108087	0.126783
25p45g	-27	-5	0.108282	0.126305
14p37g	-35	-6	0.126554	0.284202
14p43g	-35	-6	0.123083	0.279322
18p41g	-33	-5	0.114068	0.215272
25p39g	-27	-5	0.110804	0.133886
14p41g	-35	-6	0.123274	0.278371
20p43g	-30	-5	0.116161	0.207456
18p45g	-33	-5	0.121927	0.241789
20p51g	-30	-5	0.11795	0.183554
14p47g	-35	-6	0.119249	0.258223
14p53g	-35	-6	0.123762	0.258946
20p49g	-30	-5	0.121086	0.190207
18p49g	-33	-5	0.127971	0.257942
18p51g	-33	-5	0.115054	0.191605
18p39g	-33	-5	0.126286	0.261353
25p43g	-27	-5	0.123854	0.176985
18p53g	-33	-5	0.113257	0.190965
14p49g	-35	-6	0.119393	0.255202
25p37g	-27	-5	0.109651	0.129716
20p35g	-30	-5	0.117394	0.195042
20p37g	-30	-5	0.118879	0.203742
25p47g	-27	-5	0.108085	0.127639
25p49g	-27	-5	0.117029	0.151864
20p41g	-30	-5	0.114931	0.197257
20p47g	-30	-5	0.124492	0.226433
20p53g	-30	-5	0.12917	0.213967
20p39g	-30	-5	0.127701	0.234063
18p37g	-33	-5	0.124933	0.246589
18p47g	-33	-5	0.11989	0.233897
14p45g	-35	-6	0.130133	0.302126
20p45g	-30	-5	0.116422	0.189823
